Month,Item Title,Item Type,DOI,Parent Title,Parent Type,Proprietary ID,ISSN,e-ISSN,ISBN,e-ISBN,Year,Volume,Issue,Total Downloads,Article Downloads,Preprint Downloads,PDF Downloads,HTML Downloads,Subscriber Downloads,Free Downloads,Open Access Downloads,Free Trial,Total Abstract Views,Article Abstract Views,Preprint Abstract Views,Publisher
2024/10,Automated 3D Reconstruction of LoD2 and LoD1 Models for All 10 Million Buildings of the Netherlands,Article,10.14358/pers.21-00032r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2022,88,3,22,22,0,22,0,0,0,22,0,189,189,0,American Society for Photogrammetry and Remote Sensing
2024/10,"Monitoring an Ecosystem in Crisis: Measuring Seagrass Meadow Loss Using Deep Learning in Mosquito Lagoon, Florida",Article,10.14358/pers.24-00001r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2024,90,6,15,15,0,15,0,0,0,15,0,40,40,0,American Society for Photogrammetry and Remote Sensing
2024/10,New Generation Hyperspectral Sensors DESIS and PRISMA Provide Improved Agricultural Crop Classifications,Article,10.14358/pers.22-00039r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2022,88,11,14,14,0,14,0,0,0,14,0,98,98,0,American Society for Photogrammetry and Remote Sensing
2024/10,Real-Time Cross-View Image Matching and Camera Pose Determination for Unmanned Aerial Vehicles,Article,10.14358/pers.23-00073r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2024,90,6,14,14,0,14,0,0,0,14,0,50,50,0,American Society for Photogrammetry and Remote Sensing
2024/10,Investigation of Underwater Photogrammetry Method with Cost-Effective Action Cameras and Comparative Analysis between Reconstructed 3D Point Clouds,Article,10.14358/pers.23-00042r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2024,90,4,12,12,0,12,0,2,0,10,0,58,58,0,American Society for Photogrammetry and Remote Sensing
2024/10,One-Dimensional-Mixed Convolution Neural Network and Covariance Pooling Model for Mineral Mapping of Porphyry Copper Deposit Using PRISMA Hyperspectral Data,Article,10.14358/pers.24-00006r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2024,90,8,12,12,0,12,0,0,0,12,0,54,54,0,American Society for Photogrammetry and Remote Sensing
2024/10,Diffuse Attenuation Coefficient (Kd ) from ICESat-2 ATLAS Spaceborne Lidar Using Random-Forest Regression,Article,10.14358/pers.21-00013r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2021,87,11,11,11,0,11,0,0,0,11,0,50,50,0,American Society for Photogrammetry and Remote Sensing
2024/10,Discovering Potential Illegal Construction Within Building Roofs from UAV Images Using Semantic Segmentation and Object-Based Change Detection,Article,10.14358/pers.87.4.263,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2021,87,4,11,11,0,11,0,0,0,11,0,45,45,0,American Society for Photogrammetry and Remote Sensing
2024/10,Multi-Spatial Resolution Satellite and sUAS Imagery for Precision Agriculture on Smallholder Farms in Malawi,Article,10.14358/pers.86.2.107,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2020,86,2,11,11,0,11,0,0,0,11,0,46,46,0,American Society for Photogrammetry and Remote Sensing
2024/10,Assessing the Utility of Uncrewed Aerial System Photogrammetrically Derived Point Clouds for Land Cover Classification in the Alaska North Slope,Article,10.14358/pers.24-00016r1,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2024,90,7,10,10,0,10,0,0,0,10,0,31,31,0,American Society for Photogrammetry and Remote Sensing
2024/10,Car Detection from Very High-Resolution UAV Images Using Deep Learning Algorithms,Article,10.14358/pers.22-00101r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2023,89,2,10,10,0,10,0,0,0,10,0,51,51,0,American Society for Photogrammetry and Remote Sensing
2024/10,GIS TUTORIAL for ArcGIS Pro 3.1,Article,10.14358/pers.90.10.597,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2024,90,10,9,9,0,9,0,0,0,9,0,93,93,0,American Society for Photogrammetry and Remote Sensing
2024/10,Bank Line Extraction by Integration of Orthoimages and Lidar Digital Elevation Model Using Principal Component Analysis and Alpha Matting,Article,10.14358/pers.21-00078r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2024,90,10,9,9,0,9,0,0,0,9,0,87,87,0,American Society for Photogrammetry and Remote Sensing
2024/10,"The Essentials of SAR, A Conceptual View of Synthetic Aperture Radar and its Remarkable Capabilities by Thomas P. Ager",Article,10.14358/pers.88.12.760,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2022,88,12,9,9,0,9,0,0,0,9,0,53,53,0,American Society for Photogrammetry and Remote Sensing
2024/10,Model-Driven Precise Degradation Analysis Method of Highway Marking Using Mobile Laser Scanning Point Clouds,Article,10.14358/pers.22-00119r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2023,89,4,9,9,0,9,0,0,0,9,0,61,61,0,American Society for Photogrammetry and Remote Sensing
2024/10,DORSL-FIN: A Self-supervised Neural Network for Recovering Missing Bathymetry from ICESat-2,Article,10.14358/pers.23-00011r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2023,89,9,9,9,0,9,0,0,0,9,0,30,30,0,American Society for Photogrammetry and Remote Sensing
2024/10,Hydrological Topography Data Set (HTD)— the Data Set for High Resolution 2D Urban Flood Modeling,Article,10.14358/pers.20-00115r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2022,88,7,8,8,0,8,0,0,0,8,0,19,19,0,American Society for Photogrammetry and Remote Sensing
2024/10,Alternative Procedure to Improve the Positioning Accuracy of Orthomosaic Images Acquired with Agisoft Metashape and DJI P4 Multispectral for Crop Growth Observation,Article,10.14358/pers.21-00064r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2022,88,5,8,8,0,8,0,0,0,8,0,38,38,0,American Society for Photogrammetry and Remote Sensing
2024/10,Enhancing Forest‐Steppe Ecotone Mapping Accuracy through Synthetic ApertureRadar‐Optical Remote Sensing Data Fusion and Object-based Analysis,Article,10.14358/pers.23-00070r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2024,90,7,8,8,0,8,0,0,0,8,0,44,44,0,American Society for Photogrammetry and Remote Sensing
2024/10,Estimation of the Forest Stand Biomass and Greenhouse Gas Emissions Using Lidar Surveys,Article,10.14358/pers.23-00006r2,Photogrammetric Engineering & Remote Sensing,Journal,,0099-1112,,,,2023,89,7,8,8,0,8,0,0,0,8,0,20,20,0,American Society for Photogrammetry and Remote Sensing
